mainCategory,title,averageRating,ratingNumber,features,description,price,images,videos,store,categories,parent asin,boughtTogether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Amazon.com Gift Card in Gift Tag (Various Designs),4.8,1006,"Gift Card is affixed inside a gift tag', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier'","""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""",,"{'thumb': 'https://m.media-amazon.com/images/I/41ZA96xtATL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41ZA96xtATL.jpg', 'variant': 'MAIN', 'hi res': 'https://m.media-amazon.com/images/I/71cWJvVGYtL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41NK1FX6uUL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41NK1FX6uUL.jpg', 'variant': 'PT01', 'hi res': 'https://m.media-amazon.com/images/I/71q-qp4b3-L. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Y45S0GirL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41Y45S0GirL.jpg', 'variant': 'PT02', 'hi res': 'https://m.media-amazon.com/images/I/71KutAnl9gL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/417MZ16DhcL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/417MZ16DhcL.jpg', 'variant': 'PT03', 'hi res': 'https://m.media-amazon.com/images/I/61FMUKaXfJL. SL1175 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21-tRQuOBZL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/21-tRQuOBZL.jpg', 'variant': 'PT12', 'hi res': 'https://m.media-amazon.com/images/I/61blLcj3pWL. SL1500 .jpg'}",,Amazon,"Gift Cards', 'Gift Card Recipients', 'For Him'",B06ZXTKYHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,$25 Mastercard Gift Card (plus $3.95 Purchase Fee),2.5,11,"This card is non-reloadable. No expiration of funds. NO cash or ATM access. Cards are shipped ready to use.', 'Use your Mastercard Gift Card in the U.S. everywhere Mastercard debit cards are accepted, including online. Your Amazon.com Balance cannot be used to purchase Visa gift cards.', 'A one-time $3.95 purchase fee applies at the time of purchase. No fees after purchase (including dormancy, service or other fees).', 'This item is not eligible for refund or return. Available for sale within the United States only (not available to Puerto Rico residents). Additional shipping restrictions apply to Hawaii, Kansas, New Mexico, South Dakota, US Virgin Islands, Vermont, and West Virginia.', 'Do not provide any gift card details (such as the claim code) to someone you do not know or trust. There are a variety of scams in which fraudsters try to trick others into paying with gift cards. We want to make sure our customers are aware of potential scams that may involve asking for payment using gift cards. See ""Be Informed"" link at the top of the page to learn more.'","Mastercard Gift Cards are the ideal gift – to give and receive. When you give a Mastercard Gift Card, your gift is the perfect choice for any occasion including holidays, birthdays, graduations, anniversaries, or any other celebration. Shop online and make purchases anywhere Debit Mastercards are accepted in the U.S. Purchase a Mastercard Gift Card and your gift will be perfect every time.'",,"{'thumb': 'https://m.media-amazon.com/images/I/51PBGo9pQvL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/51PBGo9pQvL.jpg', 'variant': 'MAIN', 'hi res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51g8xw90yeL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/51g8xw90yeL.jpg', 'variant': 'PT01', 'hi res': None}",,Mastercard,"Gift Cards', 'Gift Card Categories', 'Specialty Cards'",B07FX2LXR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Tractor Supply Company Gift Card,4.9,2708,"Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states.', 'No returns and no refunds on gift cards.'","""Tractor Supply Company is the largest operator of rural lifestyle retail stores in the United States, operating over 1,500 stores in 49 states. Stores supply the unique products to support their customers' rural lifestyle, from welders and generators to animal care products and men and women's workwear. You can also find pet supplies, animal feed, power tools, riding mowers, lawn and garden products and more. Each store team includes welders, farmers and horse owners who collectively provide an exceptional depth of knowledge and resources.""",50,"{'thumb': 'https://m.media-amazon.com/images/I/51Nu3xiHuUL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/51Nu3xiHuUL.jpg', 'variant': 'MAIN', 'hi res': None}",,Tractor Supply Company,"Gift Cards', 'Gift Card Categories', 'Home Improvement'",B01GKWEISG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Staples Gift Card,4.8,351,"Staples Gift Cards - Giving the perfect gift has never been easier.', 'Staples Gift Cards offer thousands of choices in one easy location. Easy for you. Perfect for them.', 'Gift Cards are redeemable only at Staples US Retail stores.', 'No returns and no refunds on gift cards.'","""Giving the perfect gift has never been easier! Whatever the season or reason, a Staples gift card makes a great gift. With thousands of options, there's something for everyone — digital cameras, GPS, laptops, printers and more.""",50,"{'thumb': 'https://m.media-amazon.com/images/I/41VkVBwRvJL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41VkVBwRvJL.jpg', 'variant': 'MAIN', 'hi res': 'https://m.media-amazon.com/images/I/61Dq0CdBIuL. SL1500 .jpg'}",,STAPLES,"Gift Cards', 'Gift Card Categories', 'Electronics & Office'",B00GOLH2S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Ninety Nine Restaurants Gift Card,4.8,443,"Ninety Nine Restaurants are a comfortable place to get together with friends and family to enjoy great American food and drink at a terrific value.', ""Give a Ninety Nine Restaurant gift card today! It's always a great idea."", 'Redeem card for food, beverages and gratuities at any participating Ninety Nine Restaurant.', 'No returns and no refunds on gift cards.'","""The Ninety Nine Restaurants is a comfortable place to get together with friends and family to enjoy great American food and drink at a terrific value. The menu has something for everyone and offers a wide selection of appetizers, entrees, delicious desserts and signature cocktails. So give us a try today! It's always a great idea.""",50,"{'thumb': 'https://m.media-amazon.com/images/I/41gRNZmuwWL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41gRNZmuwWL.jpg', 'variant': 'MAIN', 'hi res': 'https://m.media-amazon.com/images/I/81B3hOC7r-L. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/511RpPcV6hL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/511RpPcV6hL.jpg', 'variant': 'PT01', 'hi res': 'https://m.media-amazon.com/images/I/91MrLovuFrL. SL1500 .jpg'}",,Ninety Nine Restaurants,"Gift Cards', 'Gift Card Categories', 'Restaurants'",B00BXLV3RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Amazon.com Gift Card in a Reveal (Various Designs),4.9,80974,"Gift Card is affixed inside a reveal product', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift amount may not be printed on Gift Cards', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier'","""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""",20,"{'thumb': 'https://m.media-amazon.com/images/I/515H0HfsHxL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/515H0HfsHxL.jpg', 'variant': 'MAIN', 'hi res': 'https://m.media-amazon.com/images/I/71tuXbbE0TL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51PlQZnaYZL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/51PlQZnaYZL.jpg', 'variant': 'PT01', 'hi res': 'https://m.media-amazon.com/images/I/71Nqlm+ZyqL. SL1236 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41mnIr+MNML. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41mnIr+MNML.jpg', 'variant': 'PT02', 'hi res': 'https://m.media-amazon.com/images/I/61zH0ujIxRL. SL1229 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41a2uFraTyL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41a2uFraTyL.jpg', 'variant': 'PT03', 'hi res': 'https://m.media-amazon.com/images/I/81J+vQ-3-zL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41V3Q8agPDL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41V3Q8agPDL.jpg', 'variant': 'PT04', 'hi res': 'https://m.media-amazon.com/images/I/71Dbc6HAYUL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31P20WACP9L. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/31P20WACP9L.jpg', 'variant': 'PT12', 'hi res': None}","{'title': 'Slide up to reveal card', 'url': 'https://www.amazon.com/vdp/974928ef005b44ab8c936b4c3c804114?ref=dp vse rvc 0', 'user id': 'AHDUDAEJT7B5ZB6TRIZLM4RQX6FA'}, {'title': 'Damaged presentation box ', 'url': 'https://www.amazon.com/vdp/e1d6ef73371a40259c0356ed56f8a206?ref=dp vse rvc 1', 'user id': 'AE2GM6GRDXUSYCFDK4XOQJLE7UKQ'}, {'title': 'Amazon Gift Card ', 'url': 'https://www.amazon.com/vdp/07b1d9c6856c4c5c86f8ce823278e61f?ref=dp vse rvc 2', 'user id': '/shop/becomingthefords'}, {'title': 'Amazon.com Gift Card in a Reveal ', 'url': 'https://www.amazon.com/vdp/0141a119ecc546a484240823782e518b?ref=dp vse rvc 3', 'user id': '/shop/thelifeofscottwenger'}, {'title': 'Nice gift from order.', 'url': 'https://www.amazon.com/vdp/03946720ff6745699ab3e42e71ef82b4?ref=dp vse rvc 4', 'user id': 'AHTO4NUKMAZB3VAUWYWOVIILKFSA'}, {'title': 'Fresh Flowers For any Occasion ', 'url': 'https://www.amazon.com/vdp/05d61f5aa67141d1a856b62a62b83795?ref=dp vse rvc 5', 'user id': '/shop/purplepowerwashllc'}, {'title': 'Happy Birthday Granddaughter ( Erin)', 'url': 'https://www.amazon.com/vdp/0617fcf2d1584599bf60cf09cb3e6e03?ref=dp vse rvc 6', 'user id': 'AGLPQAOHVH5XHPWIVBMITF5DUOXA'}",Amazon,"Gift Cards', 'Occasions', 'Christmas'",B018F4M89S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Finish Line Gift Card,4.8,540,"Turn This Card Into Shoes', 'Redeemable at any Finish Line store location and online.', 'Card will not be replaces if lost or stolen.', 'Amazon.com Gift Cards cannot be used as a method of payment for this item.', 'No returns and no refunds on gift cards.'","Finish Line Inc. is a leading athletic retailer offering the best selection of brand name footwear, apparel and accessories. The company operates over 700 stores in 47 states and online.'",25,"{'thumb': 'https://m.media-amazon.com/images/I/41Ne5tt49LL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41Ne5tt49LL.jpg', 'variant': 'MAIN', 'hi res': 'https://m.media-amazon.com/images/I/71ZnEg3UN0L. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41J-7N+XC8L. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/41J-7N+XC8L.jpg', 'variant': 'BACK', 'hi res': 'https://m.media-amazon.com/images/I/719eVhwqTEL. SL1500 .jpg'}",,Finish Line,"Gift Cards', 'Gift Card Categories', 'Clothing, Shoes & Accessories'",B00BXQXO0S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,The Cheesecake Factory Gift Card,4.4,17,"Premium greeting cards options are available. Mail the gift card inside a personalized, 5x7 inch greeting card, which can added during Checkout.', 'Product cannot be shipped to freight forwarding companies.', 'Amazon.com Gift Cards cannot be used as a method of payment for this item.'","""The Cheesecake Factory offers more than 200 menu selections including steaks, pastas, specialty salads, pizzas and fresh fish. Don't forget to save room for one of their more than 50 decadent cheesecakes and desserts.""",,"{'thumb': 'https://m.media-amazon.com/images/I/31z1Z02HEiL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/31z1Z02HEiL.jpg', 'variant': 'MAIN', 'hi res': None}",,The Cheesecake Factory,"Gift Cards', 'Gift Card Categories', 'Restaurants'",B003YLZCFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Amazon.com Gift Card in a Greeting Card (Various Designs),4.8,13831,"Gift Card is affixed inside a greeting card with a separate mailing envelope', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier'","""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""",,"{'thumb': 'https://m.media-amazon.com/images/I/416Wu3LVphL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/416Wu3LVphL.jpg', 'variant': 'MAIN', 'hi res': 'https://m.media-amazon.com/images/I/81VUAkzOC3L. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51LCCWt8kZL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/51LCCWt8kZL.jpg', 'variant': 'PT01', 'hi res': 'https://m.media-amazon.com/images/I/81fI1E8NTnL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31rIKFCKS0L. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/31rIKFCKS0L.jpg', 'variant': 'PT02', 'hi res': 'https://m.media-amazon.com/images/I/71ceSTl-2hL. SL1500 .jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31lRMiHEsSL. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/31lRMiHEsSL.jpg', 'variant': 'PT03', 'hi res': 'https://m.media-amazon.com/images/I/71tu+VcnevL. SL1500 .jpg'}",,Amazon,"Gift Cards', 'Gift Card Recipients', 'For Him'",BT00CTOUNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift Cards,Atria's Restaurant & Tavern Gift Card,5,10,"Our Mission: To provide each and every guest the finest quality food and service in an atmosphere that is comfortable and friendly.', 'Our Promise: To assure you that during each of your visits, we will strive to exceed your dining expectations.', 'Our Commitment: To make your experience memorable by taking special care to give you the ""best"" of product selection, food presentation and service from a staff of well-trained professionals who make up the Atria\'s team.', 'No returns and no refunds on gift cards.'","""Atria's Restaurant & Tavern offers a unique combination of traditional entrees and quality features. It is our tradition to ensure that you experience quality food at an affordable price, exceptional service and a friendly atmosphere. For over a half of a century, people have made Atria's their very own neighborhood restaurant. — Come and see what makes us different.""",25,"{'thumb': 'https://m.media-amazon.com/images/I/51ZM-uqNM8L. SX38 SY50 CR,0,0,38,50 .jpg', 'large': 'https://m.media-amazon.com/images/I/51ZM-uqNM8L.jpg', 'variant': 'MAIN', 'hi res': None}",,Atria's Restaurant & Tavern,"Gift Cards', 'Gift Card Categories', 'Restaurants'",B00NM4ISEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
